Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Denmark,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.10438,8.44833,8.70251,8.90363,9.00743,9.09057,9.1688,9.32515,9.51134,10.67432,10.60775,10.40703,10.52197,10.32916,10.30918,10.34412,10.25162,10.09826,10.09764,10.15244,10.5603,10.82403,9.49651
Djibouti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.39911,3.19861,3.75542,4.27387,3.53826,3.80623,4.22307,4.05583,3.61543,3.64194,3.35967,3.37655,3.29993,2.92014,2.96726,3.34758,2.74166,2.46857,2.33969,2.16641,2.15048,2.87667,
Djibouti,Current Health Expenditure (CHE) per Capita in US$,35.74237,33.86995,39.8223,46.68311,40.42881,45.57661,53.81796,55.77771,56.53337,57.5798,56.37421,62.67469,65.69986,61.38715,66.44046,80.65351,69.79542,65.55883,64.47797,62.30675,62.751,87.74767,
Dominica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.32374,4.64502,4.65311,4.84618,4.7452,4.97773,4.78092,4.7911,5.04969,4.98329,5.15712,5.3345,5.7951,5.3475,5.26142,5.15942,5.12308,5.46245,6.18496,5.16904,5.99901,6.50494,
Dominica,Current Health Expenditure (CHE) per Capita in US$,259.6467,231.98364,227.2182,243.10257,253.98325,263.8952,271.49783,293.61826,336.35327,354.44778,370.31329,388.87131,408.7749,387.08289,394.67294,398.52124,421.32178,404.60904,484.52222,442.5116,420.0246,482.42966,
Dominican Republic,Current Health Expenditure (CHE) per Capita in US$,138.99898,144.17262,153.85899,105.31116,105.84015,169.96866,162.94298,191.22145,230.50578,238.27136,271.26663,295.1944,305.43646,303.37979,313.45752,322.94608,329.1088,337.60925,327.90109,346.5079,354.09363,416.89975,
Dominican Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.88427,4.88183,4.98649,4.38888,4.28774,4.35391,3.99365,4.08935,4.56146,4.76338,4.92355,5.03798,5.04898,4.91598,4.79757,4.72217,4.57663,4.49337,4.12602,4.23949,4.93998,4.91816,
Ecuador,Current Health Expenditure (CHE) per Capita in US$,48.37698,71.55697,97.78112,132.74376,150.58769,168.72697,190.63995,194.37643,232.87502,245.9554,288.67255,342.38489,389.7561,416.34296,435.51331,466.23752,450.82925,470.80328,494.7149,484.36807,471.87576,494.30838,
Ecuador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.33442,3.75669,4.47672,5.44399,5.56991,5.59754,5.70635,5.43095,5.46596,5.79984,6.22109,6.58094,6.86373,6.88127,6.832,7.60513,7.41604,7.53718,7.8261,7.77071,8.3589,8.28662,
Egypt,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.92244,5.4003,5.51074,5.22425,4.85732,4.92229,4.8419,4.44493,4.46635,4.37871,4.15319,4.35708,4.45892,4.671,4.77415,5.06153,5.07462,5.34662,4.74893,4.59947,4.15385,4.60955,
Egypt,Current Health Expenditure (CHE) per Capita in US$,71.03571,70.36794,65.58682,51.60064,51.60012,60.99181,68.03049,75.12869,92.3298,101.21814,107.41892,118.69612,142.75941,142.59769,158.20581,173.51944,145.27769,107.98848,120.22326,145.31029,150.90656,179.6812,
El Salvador,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.84343,7.88605,7.88566,7.77182,8.13022,9.20058,8.69339,8.47836,8.49586,8.8375,8.90416,8.87645,8.60625,9.05236,8.59894,8.75833,8.71456,8.42287,8.32275,8.80846,9.08151,9.71643,
El Salvador,Current Health Expenditure (CHE) per Capita in US$,155.13145,161.76152,166.12776,170.78583,184.88005,223.97185,230.50076,238.63466,251.83342,255.38142,268.66708,293.36771,298.7254,321.82663,312.86746,329.4425,337.2749,335.73712,345.05182,377.02557,354.487,442.21375,
Equatorial Guinea,Current Health Expenditure (CHE) per Capita in US$,18.72774,27.99723,75.52089,87.19218,104.68054,122.74163,144.02803,179.56561,222.33101,255.58073,241.67,266.68747,284.08353,289.67935,294.76089,229.11935,229.76306,231.04565,248.692,231.83954,246.76674,255.56525,
Equatorial Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.1072,1.20301,2.74982,1.8275,1.45293,1.29643,1.29172,1.30166,1.11556,1.7679,1.62135,1.42924,1.51459,1.64175,1.75401,2.34058,2.85942,2.74714,2.85224,3.16834,3.89985,3.40451,
Eritrea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.7667,5.91932,6.68857,7.33703,7.00985,6.86418,6.85727,5.27863,6.41521,5.38878,4.83844,5.16795,3.74496,4.97097,4.02524,4.45035,3.66085,3.98912,4.12702,4.58734,4.15887,4.15077,
Eritrea,Current Health Expenditure (CHE) per Capita in US$,13.17518,13.99944,14.81901,18.62379,21.77469,20.60617,22.31639,18.3996,19.69238,22.65766,24.433,33.27036,25.96234,29.5267,31.54171,26.82466,23.64591,22.35862,24.0244,25.98394,24.70353,25.3604,
Estonia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.17029,4.7806,4.70329,5.13883,5.33759,5.29536,4.97391,5.18456,5.95725,6.84477,6.59434,6.07817,6.09507,6.28062,6.362,6.64135,6.70241,6.59727,6.69128,6.81699,7.57907,7.49057,6.94306
Estonia,Current Health Expenditure (CHE) per Capita in US$,209.97769,214.70418,250.48021,368.97955,474.50797,549.63025,627.18378,866.49945,1082.15479,1006.50708,966.19025,1061.16284,1058.7196,1194.86206,1287.76123,1156.20276,1226.08594,1350.12646,1553.43347,1599.35034,1789.03479,2094.50317,1986.31226
Eswatini,Current Health Expenditure (CHE) per Capita in US$,77.74627,76.11362,75.27823,132.39044,177.11592,218.70697,238.98438,253.80125,267.72537,282.3049,346.70117,369.37054,343.82968,306.57077,285.05142,252.67783,227.80165,267.07047,266.45422,274.9451,222.53159,279.91431,
Eswatini,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.60952,5.13895,5.52298,6.37864,6.81432,7.37623,7.8256,7.93004,8.85793,8.63292,8.59126,8.46997,7.82048,7.45703,7.25597,7.05855,6.82045,6.98104,6.62469,7.15369,6.59767,7.03582,
Ethiopia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.36505,4.72317,4.71263,4.89971,4.31282,4.10098,4.45757,5.00128,4.28064,4.64983,5.46637,4.46898,4.5396,4.07507,4.03366,3.82317,3.60034,3.45337,3.30372,3.23382,3.48096,3.20824,
Ethiopia,Current Health Expenditure (CHE) per Capita in US$,5.31967,5.54698,5.19038,5.76164,5.79775,6.5571,8.53116,11.78915,13.22204,15.36375,16.40673,14.83501,20.28754,19.53577,21.90295,23.53431,24.67318,24.51061,23.84538,26.22917,28.69671,26.47735,
Fiji,Current Health Expenditure (CHE) per Capita in US$,75.03529,62.10351,70.07133,86.89743,111.04245,121.23509,127.42844,141.43361,135.50377,121.843,128.39638,141.65604,154.21617,159.02124,178.70599,169.72981,176.06862,185.64392,249.36649,253.7433,231.98277,250.02554,
Fiji,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.42441,2.90547,2.9835,2.97298,3.25769,3.25657,3.34798,3.41515,3.18467,3.53588,3.41664,3.14294,3.26555,3.20041,3.3686,3.32469,3.2798,3.1869,4.10573,4.25136,4.76918,5.38085,
Finland,Current Health Expenditure (CHE) per Capita in US$,1726.74182,1810.39282,2059.30737,2613.82861,3044.12524,3236.86523,3414.93896,3918.66016,4486.36035,4349.92871,4251.59131,4717.57373,4573.29297,4892.19678,4922.6499,4128.40088,4108.92676,4235.95215,4521.50195,4460.10938,4736.33789,5487.87744,
Finland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.09253,7.2509,7.6277,7.93805,8.05913,8.28796,8.28412,8.08359,8.34311,9.16122,9.14203,9.22303,9.5858,9.80535,9.78115,9.64524,9.37796,9.1267,9.04514,9.17143,9.6325,10.25037,
France,Current Health Expenditure (CHE) per Capita in US$,2161.85303,2192.71558,2449.7583,3006.30591,3458.62744,3575.02515,3811.55176,4312.31055,4807.37451,4737.57813,4592.3833,4931.87793,4644.5957,4884.7666,4980.81494,4201.78174,4256.76563,4410.59912,4666.97998,4504.48486,4755.44043,5380.875,
France,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9.58448,9.70563,10.02219,10.08283,10.16429,10.21484,10.38566,10.31564,10.50085,11.28756,11.2256,11.18498,11.2974,11.39603,11.53937,11.44817,11.4706,11.35469,11.20799,11.08886,12.13096,12.30787,
Gabon,Current Health Expenditure (CHE) per Capita in US$,123.33141,121.06619,132.21744,166.88828,182.614,190.27209,212.61395,254.19885,271.50989,283.02966,207.93784,262.77457,226.32527,262.78244,234.42152,188.42418,208.90524,193.97592,211.22572,208.28835,228.02458,233.87103,
Gabon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.90186,3.14902,3.32485,3.53258,3.33046,2.93241,3.14334,3.16289,2.7898,3.83572,2.47557,2.55772,2.42098,2.84087,2.53282,2.65744,3.1077,2.78069,2.745,2.76836,3.413,2.70633,
Gambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.65441,5.63961,6.27724,5.32621,5.42,5.38602,5.43721,4.95502,4.65939,4.46431,4.11944,4.36967,4.26872,3.91375,3.05235,3.17613,3.19524,3.35449,3.34384,3.15857,3.72824,3.18963,
Gambia,Current Health Expenditure (CHE) per Capita in US$,46.73693,38.21402,36.57312,28.66202,32.33736,33.33732,33.49129,35.9289,39.97063,34.46992,32.817,30.82728,29.30705,25.33724,17.14346,19.42744,20.47115,21.20037,22.84936,22.83255,26.24802,24.62884,
Georgia,Current Health Expenditure (CHE) per Capita in US$,53.03225,57.2542,67.17493,82.01244,106.86656,134.39299,154.48628,199.05731,286.31427,274.68472,289.54208,316.8233,348.76688,357.91016,369.13843,294.35031,321.08371,303.94324,331.86633,308.56665,354.72513,417.07455,484.13934
Georgia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.19459,7.16951,7.81474,8.02953,8.08911,8.07734,7.63208,7.43518,8.44424,9.56682,9.07341,8.01444,8.04716,7.88305,7.90387,7.42301,7.99671,7.05804,7.1133,6.65744,8.42998,8.41525,7.36753
Germany,Current Health Expenditure (CHE) per Capita in US$,2344.41089,2346.66919,2567.50293,3152.79419,3459.82495,3558.21338,3698.0437,4182.91602,4669.76025,4674.91943,4611.42188,5037.4917,4765.67871,5100.15234,5309.15479,4627.35791,4746.87012,5070.1958,5511.21436,5486.98877,5936.25146,6626.00488,6191.03516
Germany,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9.88844,9.92069,10.18366,10.40202,10.14603,10.31154,10.17995,10.05133,10.25129,11.23791,11.09593,10.77845,10.85346,10.99906,11.02588,11.19048,11.24189,11.33618,11.48052,11.71551,12.69255,12.93413,12.65471
Ghana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.79045,3.17078,2.88722,2.8269,2.76365,3.63137,3.67091,3.80249,3.87511,4.37879,4.22399,4.69264,4.008,4.59225,4.01644,4.54297,3.39036,3.73088,3.80673,4.29848,4.01752,4.15177,
Ghana,Current Health Expenditure (CHE) per Capita in US$,16.27484,19.2072,19.75684,23.23124,25.61305,39.75449,45.9679,54.75652,61.90891,61.814,71.61215,95.87026,83.48946,104.81431,78.03632,77.74267,64.43041,74.56986,82.98775,93.18772,87.44453,100.00097,
Greece,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.24333,7.98784,8.23378,8.44916,8.0939,8.56467,8.25867,8.39808,8.82774,9.40689,9.59662,9.1933,8.92416,8.43796,7.89141,8.22005,8.44875,8.13516,8.12024,8.19811,9.50364,9.17299,
Greece,Current Health Expenditure (CHE) per Capita in US$,885.41052,1004.81543,1168.8241,1566.40979,1782.69592,1935.26758,2052.87549,2426.75952,2840.50854,2809.05957,2564.36938,2338.91504,1948.24854,1832.02966,1700.49438,1481.41968,1513.25916,1509.78455,1603.07788,1569.02905,1675.11707,1845.77563,
Grenada,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.35886,5.62457,6.1757,5.28486,5.36568,5.1446,5.11352,5.23868,5.3862,5.43471,5.41881,5.80423,5.82236,5.62653,4.77354,4.64676,4.4391,4.65701,4.58374,4.9319,5.559,5.69845,
Grenada,Current Health Expenditure (CHE) per Capita in US$,259.38351,271.16745,308.33716,287.28506,293.60291,324.55722,321.82663,355.66373,395.50681,370.04715,366.41028,393.21112,401.84506,405.39502,368.81384,389.39383,392.77982,433.48514,438.9184,487.60291,469.00775,505.40463,
Guatemala,Current Health Expenditure (CHE) per Capita in US$,83.3464,99.68915,107.2444,112.98001,121.73466,131.96346,148.5432,158.37694,175.11615,168.85533,174.79474,190.71449,200.33554,198.33766,216.79504,233.41566,246.11731,265.18399,265.74734,278.54898,289.12656,340.95813,
Guatemala,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.39686,6.07024,6.01301,6.15307,6.26183,6.14826,6.36362,6.19183,6.0813,6.33939,6.12478,5.96307,6.07317,5.77189,5.88857,6.00602,6.07008,6.13564,6.10663,6.17458,6.46693,6.90083,
Guinea,Current Health Expenditure (CHE) per Capita in US$,23.00282,22.04349,25.15307,25.93502,26.76064,19.94359,16.35091,22.80706,23.25375,24.00493,22.87329,24.42394,23.99205,26.22439,37.0863,43.94221,38.91921,33.02272,35.30638,42.68259,41.61955,44.6869,
Guinea,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.74825,4.89139,5.36402,4.78056,4.78468,4.04512,3.61522,3.46628,3.26562,3.58148,3.42783,3.78955,3.50399,3.46109,4.78799,5.80919,5.39695,3.91513,3.73843,4.08876,3.87644,3.75557,
Guinea-Bissau,Current Health Expenditure (CHE) per Capita in US$,13.32053,14.86868,14.4098,14.86719,18.48644,21.10598,22.80813,26.16552,34.93794,27.59509,31.59484,44.70295,37.72528,46.01107,64.91837,52.38646,56.52604,54.74217,58.78645,54.0177,68.04572,68.81869,
Guinea-Bissau,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.18953,4.53105,3.96903,3.53315,4.27735,4.55162,5.08093,5.03941,5.45864,4.73429,5.26704,6.21635,5.94135,7.03943,9.96897,8.13228,8.32881,7.0005,7.28131,7.16053,9.02139,8.22334,
Guyana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.18738,3.05507,3.19354,3.26884,3.4377,3.7941,3.93144,4.28126,4.20242,4.35117,4.21898,4.17213,3.70819,3.80231,3.94755,4.02265,4.01842,4.31911,4.90493,4.90332,5.50584,4.94385,
Guyana,Current Health Expenditure (CHE) per Capita in US$,62.85142,60.4685,65.32598,68.42657,74.88807,85.49252,98.42082,125.84896,138.78439,150.3844,162.99217,186.59482,202.51857,212.02635,216.93324,228.02095,237.30305,268.69104,298.95074,317.60226,377.87,470.56879,
Haiti,Current Health Expenditure (CHE) per Capita in US$,30.15131,27.21362,22.22667,18.49892,23.90322,25.11821,28.96251,37.40651,40.25811,41.22427,55.51103,76.81674,74.79749,59.15798,64.86157,68.24274,59.83052,53.57901,62.01783,49.08564,44.17984,57.87849,
Haiti,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.99166,3.75029,3.4325,3.53695,3.42928,3.30555,3.48014,3.64734,3.75722,3.50277,4.54871,5.91198,5.56462,4.10524,4.52036,5.07518,4.80761,3.81994,4.3165,3.91108,3.22171,3.47919,
Honduras,Current Health Expenditure (CHE) per Capita in US$,67.67149,66.35316,69.90351,78.74036,82.3439,96.74767,110.83789,126.11589,147.41615,158.53949,163.53705,180.58157,182.42372,175.01651,171.30481,168.92593,176.97311,168.39217,177.64667,184.03918,212.69731,253.91805,
Honduras,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.26818,5.92998,6.24458,6.89005,6.85484,7.50086,7.86319,8.08495,8.60363,8.99592,8.72536,8.79187,8.65655,8.47723,7.91456,7.48379,7.70945,7.00669,7.22821,7.30498,9.0351,9.16102,
Hungary,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.77804,6.82615,7.12102,8.12085,7.75805,7.98451,7.77806,7.20393,7.0884,7.22222,7.44858,7.48131,7.41063,7.23441,7.04666,6.85402,6.98777,6.74387,6.57988,6.28167,7.2876,7.37578,
Hungary,Current Health Expenditure (CHE) per Capita in US$,313.10858,359.69751,473.12784,682.86566,798.45361,895.20331,893.203,1003.25806,1117.20227,943.68774,983.11084,1063.43237,961.13837,990.63116,1006.15649,870.51941,914.19324,985.07196,1080.44775,1054.28076,1172.83972,1381.62109,
Iceland,Current Health Expenditure (CHE) per Capita in US$,2853.72827,2526.90112,3044.79468,3837.09717,4411.33447,5076.37158,4915.05469,5800.04297,4746.68701,3620.83594,3612.05151,3910.57544,3759.89355,4068.55884,4487.53027,4269.93408,5015.73291,5944.97217,6233.91553,5865.23145,5651.72754,6716.36816,6400.07129
Iceland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.89924,8.75266,9.40382,9.7293,9.32854,8.94695,8.55709,8.35359,8.34371,8.77518,8.36173,8.20293,8.18119,8.17555,8.22889,8.06979,8.09715,8.26132,8.37839,8.57953,9.61493,9.73405,8.57197
India,Current Health Expenditure (CHE) per Capita in US$,18.449,19.72482,20.14344,21.88181,24.91809,27.4986,29.38866,35.66087,37.69173,38.11827,44.89942,48.32049,48.61183,55.67115,56.56586,58.35065,59.96336,56.897,57.70292,60.95106,64.03267,74.03649,
India,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.03493,4.26278,4.24017,4.00848,3.95739,3.79116,3.63478,3.51754,3.51468,3.48538,3.27212,3.24634,3.32935,3.74944,3.61957,3.59566,3.5043,2.93598,2.85849,2.953,3.3412,3.28195,
Indonesia,Current Health Expenditure (CHE) per Capita in US$,15.53567,17.02775,19.14863,25.73569,26.21132,34.40549,44.80917,56.52228,59.79582,62.9819,86.36214,108.03186,106.90163,103.37932,103.05884,97.16176,107.52871,111.51396,111.91187,119.49844,133.25635,160.64177,
Indonesia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),1.85298,2.1185,1.98063,2.24837,2.12002,2.53189,2.61946,2.82386,2.54842,2.62324,2.79088,2.98942,2.91427,2.86935,2.96434,2.92429,3.02147,2.90417,2.86758,2.87863,3.42067,3.70636,
Iran (Islamic Republic of),Current Health Expenditure (CHE) per Capita in US$,80.95654,94.31705,105.70446,116.90392,142.17691,173.79692,197.7809,245.00897,297.50876,364.43451,436.13629,518.84021,513.45483,408.33044,375.28467,384.25986,447.13925,466.99432,478.39191,378.47418,338.24973,392.54144,
Iran (Islamic Republic of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.72251,5.16087,4.65182,4.95589,5.12801,5.29996,5.15991,4.91188,5.0399,6.11493,6.29153,6.09788,6.12235,5.54722,6.3524,7.53312,7.99203,7.83455,7.73915,6.27399,5.4015,5.77014,
Iraq,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,2.99694,3.90129,3.01705,2.4937,3.21481,3.06604,3.77204,3.23955,2.80316,2.69366,2.80868,2.78787,3.15587,4.58949,4.04065,4.12989,4.25509,6.17485,5.24728,
Iraq,Current Health Expenditure (CHE) per Capita in US$,,,,26.71867,51.29242,52.51677,56.19693,99.64922,138.10931,139.05556,143.52603,160.81467,173.40317,185.73557,178.02396,148.3006,198.70619,195.82373,231.00331,239.57892,245.48047,248.92311,
Ireland,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.89903,6.39249,6.67263,7.00761,7.21973,7.64243,7.51647,7.80774,9.12565,10.52276,10.52404,10.60615,10.59788,10.27731,9.51344,7.33598,7.46859,7.12622,6.4955,6.70901,7.10915,6.71663,6.07061
Ireland,Current Health Expenditure (CHE) per Capita in US$,1564.8374,1823.73474,2200.35742,2910.93213,3483.16064,3938.19116,4147.13232,4858.64502,5638.7793,5502.8877,5133.45508,5545.76416,5210.36377,5313.70947,5316.26953,4575.94482,4726.31299,5010.25635,5187.05762,5462.73096,6098.2666,6764.25879,6349.47754
Israel,Current Health Expenditure (CHE) per Capita in US$,1471.62036,1514.76855,1361.94983,1389.93848,1443.1571,1512.271,1558.28589,1772.58606,2128.54517,2036.26477,2240.43945,2445.98145,2410.14648,2681.19214,2816.11768,2660.69971,2801.22485,3093.88574,3219.68896,3354.4458,3637.03198,4338.94092,
Israel,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6.61731,7.01818,6.92268,6.85544,6.8006,6.90325,6.70972,6.69537,6.8283,6.91637,6.88818,6.83919,6.97649,6.95815,7.04531,7.02218,7.09563,7.17606,7.22799,7.17439,7.70718,7.90475,
Italy,Current Health Expenditure (CHE) per Capita in US$,1524.23962,1586.6571,1762.5376,2163.02563,2565.62744,2677.55225,2832.69775,3092.55884,3504.11157,3337.75073,3217.68286,3392.0127,3086.30322,3149.24268,3154.27588,2675.67163,2699.73291,2809.72144,3002.76123,2910.64673,3061.86865,3349.60205,3065.96411
Italy,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.56666,7.73761,7.86694,7.83298,8.16549,8.33932,8.43673,8.1361,8.53282,8.95162,8.91602,8.77413,8.78353,8.77544,8.86792,8.85689,8.72533,8.67774,8.68188,8.65634,9.62541,9.38431,9.00226
Jamaica,Current Health Expenditure (CHE) per Capita in US$,194.5874,180.59218,174.81673,150.1189,183.49156,190.94176,186.64355,252.11284,283.72842,229.13014,256.06424,275.53925,262.09882,254.84235,257.84634,285.59729,286.34521,324.22452,333.87869,343.06192,324.48322,372.45139,
Jamaica,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.64463,5.15653,4.74544,4.22014,4.80435,4.54582,4.20788,5.32058,5.61143,5.14654,5.29519,5.23845,4.88513,4.95443,5.16564,5.6247,5.70102,6.14859,5.96799,6.09761,6.6258,7.18521,
Japan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),7.03456,7.23948,7.35235,7.48655,7.53518,7.65819,7.68689,7.77936,8.08909,8.95878,9.06301,10.4878,10.67169,10.67439,10.72901,10.7497,10.65892,10.65627,10.73988,10.96999,11.00493,10.82267,
Japan,Current Health Expenditure (CHE) per Capita in US$,2756.24316,2492.45972,2415.81616,2653.74927,2887.93823,2895.20679,2765.58789,2783.25928,3225.26318,3698.7605,4074.33984,5106.89844,5235.41553,4357.68115,4121.53027,3754.91699,4199.71338,4148.37451,4287.99609,4463.27734,4436.24023,4347.33936,
Jordan,Current Health Expenditure (CHE) per Capita in US$,161.23511,171.82507,175.38461,172.24947,186.10637,196.46898,199.64882,219.40532,289.98578,333.80768,319.84109,338.3461,342.94043,320.86731,306.80643,303.23453,279.29807,289.5798,289.5386,294.18927,284.53439,299.07236,
Jordan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),9.34368,9.57236,9.27864,8.78901,8.74671,8.49442,7.67926,7.90983,8.48881,9.22397,8.17026,8.14808,7.818,7.16592,7.20893,7.46096,6.97644,7.10954,6.98295,6.99518,7.0382,7.28875,
Kazakhstan,Current Health Expenditure (CHE) per Capita in US$,49.94692,50.31727,58.05897,74.46767,110.73135,142.35899,173.97191,177.0726,251.24767,245.98941,243.63892,297.23526,369.38007,363.27463,374.39197,314.32941,259.87436,278.00745,272.60355,270.01306,338.30319,402.98288,
Kazakhstan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.16031,3.47097,3.6148,3.72335,3.98308,3.90173,3.39825,2.70315,3.04953,3.49914,2.73641,2.60237,3.03726,2.66287,2.97468,3.04051,3.42236,3.05244,2.81786,2.78746,3.75301,3.92459,
Kenya,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3.62714,3.76578,3.84692,4.05871,4.23646,4.24245,5.1127,5.22106,5.28901,5.26973,5.3885,5.20213,5.01806,4.931,4.91267,4.7644,4.75429,3.98598,4.09903,4.36875,4.47622,4.54763,
Kenya,Current Health Expenditure (CHE) per Capita in US$,21.40411,22.14062,22.33303,25.7119,27.75097,31.13828,41.07887,50.38685,55.41661,55.28592,58.93075,57.1878,64.72195,67.89151,73.19489,71.3065,74.26567,66.80448,75.65929,86.06783,86.67869,94.67255,
Kiribati,Current Health Expenditure (CHE) per Capita in US$,65.45455,85.70157,92.83161,102.2999,132.09866,131.71376,126.77758,148.16029,190.80888,168.71925,134.03348,142.51459,147.49493,155.06198,155.84804,118.44461,157.6824,179.44751,208.43439,177.47124,238.55397,261.52863,
Kiribati,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),8.645,12.29582,11.87038,10.70137,12.43446,11.51762,11.54089,11.35849,14.07738,13.48824,9.33728,8.67429,8.68852,9.5288,10.09137,8.10573,10.4744,11.45575,12.9686,12.58648,16.99117,14.80789,
Kuwait,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2.20344,3.18839,3.12469,2.76217,2.35702,2.01314,1.82131,1.92674,1.924,2.70639,2.6788,2.33304,2.33311,2.48789,2.916,4.21498,4.73096,4.65327,5.18863,5.35959,6.34761,5.78121,
Kuwait,Current Health Expenditure (CHE) per Capita in US$,429.56253,558.32428,581.97772,628.84717,650.58307,727.70441,782.64221,881.1037,1069.6626,1025.88074,1050.42126,1143.13794,1196.20715,1188.28284,1260.87524,1235.6189,1278.63245,1361.48279,1660.98645,1643.5697,1542.32263,1860.78369,
Kyrgyzstan,Current Health Expenditure (CHE) per Capita in US$,12.25433,13.11245,14.66923,22.03638,26.71187,35.29496,44.89823,49.78473,62.74322,59.76173,60.7648,79.33475,99.80106,104.99972,94.50259,80.71763,72.59329,77.84235,66.58774,63.05093,63.6937,72.85206,
Kyrgyzstan,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.41415,4.27703,4.5922,5.82382,6.20281,7.45011,8.31184,6.93211,6.52512,6.89873,6.95027,7.10729,8.50966,8.18745,7.35766,7.14931,6.41248,6.18586,5.01031,4.49454,5.25936,5.44076,
Lao People's Democratic Republic,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),4.27514,4.29032,3.69751,4.47921,3.54057,3.33673,2.93201,3.15346,2.76727,3.463,2.91155,1.94458,2.07638,2.39985,2.29846,2.45366,2.36087,2.52607,2.2463,2.60312,2.05965,2.74392,
Lao People's Democratic Republic,Current Health Expenditure (CHE) per Capita in US$,14.10407,14.4713,12.91643,17.61872,16.27067,17.37984,19.28024,24.81285,26.80659,35.78236,34.58348,27.16216,32.51624,43.56784,45.61304,52.15144,54.51383,61.60005,57.35622,67.81836,52.15845,68.87698,
Latvia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),5.43338,5.77004,5.76281,5.47935,6.20221,5.83247,5.70438,5.5135,5.58478,6.09759,6.09744,5.72401,5.41048,5.40875,5.4634,5.65212,6.13326,5.96543,6.18868,6.61411,7.24775,9.03743,
Latvia,Current Health Expenditure (CHE) per Capita in US$,181.57072,205.02048,237.29517,280.50879,393.29807,440.80972,552.30164,775.19147,913.52148,744.66162,689.07721,764.5918,745.51746,807.13,856.76654,775.86432,874.79773,932.50159,1101.49243,1183.11511,1313.35413,1897.95276,
Lebanon,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),10.82951,10.56255,9.28234,8.6711,7.99923,7.54868,8.66058,8.55984,7.81752,7.00736,7.43864,8.17744,7.0042,7.06796,7.5228,7.41597,7.92386,7.80397,8.07092,8.69368,7.57651,10.06154,
Lebanon,Current Health Expenditure (CHE) per Capita in US$,426.55792,417.78192,393.22479,375.07541,369.98364,349.50186,404.0965,441.85904,465.74646,501.01276,572.42017,647.17023,595.36676,583.4765,576.6546,578.64581,647.56519,677.37439,744.6106,782.2052,522.4201,307.13486,
