Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Uganda,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.12176,0.28988,0.01111,0.01902,0.09915,0.09832,0.04360,0.03666,0.04517,,,
Uganda,Current Health Expenditure (CHE),% Gross domestic product (GDP),5.08277,5.05207,4.77136,4.29918,4.70024,5.80519,6.46333,6.11311,5.45476,5.78846,6.80890,6.69591,6.10854,5.78252,5.33653,5.07457,4.96169,3.99789,4.02081,3.79835,4.30199,4.67197,
Uganda,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.26866,1.35007,1.46625,1.47299,1.36702,1.03251,0.98066,1.03104,0.93858,0.82672,1.09718,0.90863,0.92485,0.97432,0.95077,0.76898,0.77793,0.63856,0.67448,0.57419,0.94002,1.05270,
Uganda,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),2.21471,2.22022,2.15359,2.02492,1.88941,2.91570,3.59198,3.42893,2.96389,2.55976,2.63857,2.42669,2.37293,2.64372,2.46597,2.12733,2.13648,1.63463,1.59677,1.62810,1.63868,1.63574,
Uganda,External Health Expenditure (EXT),% Gross domestic product (GDP),1.59940,1.48179,1.15151,0.80127,1.44381,1.85697,1.89069,1.65314,1.55229,2.40198,3.07315,3.36059,2.81076,2.16448,1.91979,2.17826,2.04729,1.72471,1.74956,1.59606,1.72329,1.98353,
Uganda,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,4.96169,3.99789,4.02081,3.79835,,,
Uganda,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,0.12681,0.39376,0.09426,0.11569,0.13329,0.12898,0.12383,0.10589,0.15759,,,
United Republic of Tanzania,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.41530,4.23552,4.68908,5.34231,5.73734,6.32283,7.59828,6.88428,5.55705,5.06306,5.22392,5.05598,5.01779,4.64643,4.01492,3.64970,3.96350,4.08257,4.16192,3.88136,2.93978,3.36136,
United Republic of Tanzania,Current Health Expenditure (CHE) per Capita in US$,,12.25793,15.08092,16.92566,20.26039,23.29499,27.53239,35.36391,35.99416,36.01263,33.38548,36.89682,37.43364,41.63511,43.09357,39.47783,32.90985,36.26340,38.65551,40.83136,39.56182,31.39298,37.15990,
United Republic of Tanzania,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.46656,,0.16969,0.03944,0.06361,,,,,,
United Republic of Tanzania,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.29983,,0.01860,0.01624,0.01533,,,,,,
United Republic of Tanzania,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,0.15271,,0.14554,0.02308,0.03657,,,,,,
United Republic of Tanzania,Current Health Expenditure (CHE),% Gross domestic product (GDP),3.41530,4.23552,4.68908,5.34231,5.73734,6.32283,7.59828,6.88428,5.55705,5.06306,5.22392,5.05598,5.01779,4.64643,4.01492,3.64970,3.96350,4.08257,4.16192,3.88136,2.93978,3.36136,
United Republic of Tanzania,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),0.74586,1.08908,1.33213,1.49159,1.96675,2.31117,2.37999,1.94106,2.25784,1.48485,1.44998,1.28682,1.17573,1.18517,1.19945,1.25726,1.61014,1.57795,1.56340,1.57168,0.82864,0.91363,
United Republic of Tanzania,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.38426,1.80899,2.07181,2.40601,2.21972,2.20542,2.02488,2.02366,1.86698,1.80691,1.71472,1.49839,1.41682,1.20836,1.06619,1.01127,0.91006,0.90390,0.89927,0.88206,0.88935,0.89113,
United Republic of Tanzania,External Health Expenditure (EXT),% Gross domestic product (GDP),1.28518,1.33745,1.28513,1.44472,1.55088,1.80623,3.19341,2.91957,1.43222,1.77130,2.05922,2.27078,2.42524,2.25290,1.74928,1.38117,1.44330,1.60073,1.69925,1.42762,1.22179,1.55661,
United Republic of Tanzania,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,3.96350,4.08257,4.16192,3.88136,,,
United Republic of Tanzania,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,,0.46656,,0.16969,0.03944,0.06361,,,,,,
Zambia,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.17366,4.82996,5.88845,5.99554,5.48491,6.33089,5.57742,4.57961,4.46691,5.15719,3.97472,3.95913,4.04542,4.57390,3.82924,4.42974,4.46923,4.78156,4.76997,6.75332,6.31620,6.62416,
Zambia,Current Health Expenditure (CHE) per Capita in US$,,15.19319,19.40381,23.50069,27.11715,30.49891,45.59496,59.45616,51.91784,62.25917,59.36891,58.39817,65.09349,69.96879,84.19036,66.04714,57.92048,55.87984,71.52032,70.36668,85.64040,60.43534,75.33949,
Zambia,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,,0.27698,,0.19896,0.30275,0.16698,0.24123,0.27683,0.42758,0.39371,0.78727,0.31493,
Zambia,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.00305,,0.11189,0.23639,0.14996,0.16888,0.10652,0.14543,0.00339,0.11808,0.00050,
Zambia,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.27204,,0.08565,0.06636,0.16698,0.07235,0.17031,0.28215,0.39028,0.66862,0.31408,
Zambia,Current Health Expenditure (CHE),% Gross domestic product (GDP),4.17366,4.82996,5.88845,5.99554,5.48491,6.33089,5.57742,4.57961,4.46691,5.15719,3.97472,3.95913,4.04542,4.57390,3.82924,4.42974,4.46923,4.78156,4.76997,6.75332,6.31620,6.62416,
Zambia,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.47394,1.92503,1.89819,1.45377,1.31544,1.24336,1.32859,1.48783,1.58524,1.66772,1.55980,1.57353,1.54222,1.30987,1.89382,2.09054,1.71431,2.51039,2.08801,2.25832,3.59904,2.81654,
Zambia,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),2.38695,2.36450,2.16788,2.26412,2.25415,2.19150,2.00323,1.53162,1.19647,0.96146,0.70424,0.56494,0.62557,0.69599,0.68907,0.72659,0.85232,0.76104,0.57799,0.57890,0.63260,0.53118,
Zambia,External Health Expenditure (EXT),% Gross domestic product (GDP),0.31277,0.54043,1.82238,2.27764,1.91532,2.89603,2.24559,1.56016,1.68519,2.52801,1.71068,1.82066,1.87763,2.56804,1.24635,1.61261,1.90260,1.51013,2.10397,3.91611,2.08456,3.27644,
Zambia,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,4.46923,,,,,,
Zambia,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,,0.27698,,0.19896,0.30275,0.16698,0.24123,0.27683,0.42758,0.39371,0.78727,0.31493,
Zimbabwe,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,,,,,,,,,,,10.47584,8.08288,6.91795,7.10940,8.13227,7.44983,7.46645,6.36358,4.67039,3.23280,2.95440,2.78975,
Zimbabwe,Current Health Expenditure (CHE) per Capita in US$,,,,,,,,,,,,98.24946,87.49465,89.26096,100.13693,114.44430,105.09803,106.18970,92.25429,114.63295,54.80851,50.67651,62.73724,
Zimbabwe,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,,,,,,,,,,0.66411,,,,,0.00981,,0.07580,0.17272,0.10995,0.10240,,
Zimbabwe,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,0.02815,0.13462,0.06396,0.01280,,
Zimbabwe,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,0.02792,0.03784,0.03132,0.08388,,
Zimbabwe,Current Health Expenditure (CHE),% Gross domestic product (GDP),,,,,,,,,,,10.47584,8.08288,6.91795,7.10940,8.13227,7.44983,7.46645,6.36358,4.67039,3.23280,2.95440,2.78975,
Zimbabwe,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),,,,,,,,,,,2.75336,2.11995,1.99867,2.01786,2.73115,1.55090,1.58191,1.59848,1.59428,0.46117,0.65269,0.91340,
Zimbabwe,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),,,,,,,,,,,4.84410,4.41038,3.85839,3.66071,3.75647,4.09188,3.74308,2.40135,1.68553,0.76940,0.65686,0.62024,
Zimbabwe,External Health Expenditure (EXT),% Gross domestic product (GDP),,,,,,,,,,,2.87839,1.55255,1.06089,1.43083,1.64466,1.80705,2.14145,2.36376,1.39059,2.00224,1.64485,1.25611,
Zimbabwe,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,,6.36358,4.67039,3.23280,2.95440,,
Zimbabwe,Capital health expenditure,% Gross domestic product (GDP),,,,,,,,,,,0.66411,,,,,0.00981,,0.07580,0.17272,0.10995,0.10240,,
Antigua and Barbuda,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.71543,5.43839,5.28794,5.58143,5.11668,4.99094,4.63051,4.44610,4.20027,4.17733,5.37907,5.44257,5.47921,5.50909,5.87270,5.27966,5.12190,4.87494,4.84869,4.37567,5.92146,5.85133,
Antigua and Barbuda,Current Health Expenditure (CHE) per Capita in US$,,519.13116,571.11163,557.90277,612.15381,596.07178,639.24017,662.71893,711.56207,691.20734,606.90460,720.92444,713.99854,749.94379,735.49280,822.39221,784.64539,812.51093,785.47101,849.83350,801.54382,875.70099,923.40729,
Antigua and Barbuda,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.05831,0.06740,0.05456,0.07071,0.03798,0.06620,0.02528,0.06844,0.06606,0.07154,0.01508,0.01308,0.03277,,,0.04921,0.14435,0.00550,0.02266,0.02125,0.00539,0.00288,
Antigua and Barbuda,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,0.01308,0.03277,,,0.04216,0.14435,0.00550,0.02076,0.01922,,,
Antigua and Barbuda,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,0.12540,0.00265,0.02313,,,,,,,,,,,,0.00706,,,0.00190,0.00203,,,
Antigua and Barbuda,Current Health Expenditure (CHE),% Gross domestic product (GDP),4.71543,5.43839,5.28794,5.58143,5.11668,4.99094,4.63051,4.44610,4.20027,4.17733,5.37907,5.44257,5.47921,5.50909,5.87270,5.27966,5.12190,4.87494,4.84869,4.37567,5.92146,5.85133,
Antigua and Barbuda,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),2.72769,3.21293,3.09016,3.34376,2.96937,2.77609,2.45207,2.28228,2.13223,2.29312,3.13688,3.09945,3.08454,3.08961,3.47428,3.15658,2.86058,2.73787,2.91282,2.55713,3.68810,3.92720,
Antigua and Barbuda,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.97129,2.22149,2.19052,2.23767,2.14510,2.20711,2.17197,2.15747,2.06016,1.88305,2.23534,2.34021,2.39468,2.40652,2.39842,2.12307,2.26063,2.13596,1.93116,1.81651,2.22533,1.91782,
Antigua and Barbuda,External Health Expenditure (EXT),% Gross domestic product (GDP),0.01645,0.00397,0.00725,0.00000,0.00220,0.00774,0.00647,0.00634,0.00788,0.00115,0.00685,0.00291,0.00000,0.01296,0.00000,0.00000,0.00069,0.00111,0.00471,0.00203,0.00804,0.00632,
Antigua and Barbuda,Capital health expenditure,% Gross domestic product (GDP),0.05831,0.06740,0.05456,0.07071,0.03798,0.06620,0.02528,0.06844,0.06606,0.07154,0.01508,0.01308,0.03277,,,0.04921,0.14435,0.00550,0.02266,0.02125,0.00539,0.00288,
Argentina,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8.22001,8.37180,7.39331,6.89452,7.22868,7.61079,7.64033,7.83455,8.18270,9.45600,9.44546,9.41820,9.82727,9.78098,9.67130,10.22934,9.85559,10.23175,10.29147,10.04194,10.34702,9.70881,
Argentina,Current Health Expenditure (CHE) per Capita in US$,,704.94592,671.36853,222.64751,260.98264,310.21994,390.80447,453.63934,569.28839,742.90466,781.77802,980.13629,"1,202.56396","1,361.99158","1,415.21008","1,280.61487","1,525.05310","1,258.30798","1,494.83606","1,216.10681","1,016.23083",895.08466,"1,044.77271",
Argentina,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,,0.00283,0.00290,0.01466,0.02901,0.01976,0.01338,0.01736,0.02164,0.03709,0.02511,0.02983,0.02435,0.03884,0.03191,0.02301,0.03173,0.00970,,,,,
Argentina,Current Health Expenditure (CHE),% Gross domestic product (GDP),8.22001,8.37180,7.39331,6.89452,7.22868,7.61079,7.64033,7.83455,8.18270,9.45600,9.44546,9.41820,9.82727,9.78098,9.67130,10.22934,9.85559,10.23175,10.29147,10.04194,10.34702,9.70881,
Argentina,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),4.49895,4.59210,4.03351,3.77216,3.74438,3.91340,4.01899,4.25492,4.50855,5.66983,5.56834,5.68117,6.13485,6.22042,6.32731,6.82437,6.44488,6.59566,6.03072,6.08225,6.62049,6.13664,
Argentina,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),3.71854,3.76289,3.21436,3.09868,3.02961,3.60735,3.59642,3.56166,3.59840,3.75895,3.84728,3.68238,3.64121,3.51694,3.29289,3.37593,3.38293,3.59079,4.23190,3.93685,3.69764,3.44988,
Argentina,External Health Expenditure (EXT),% Gross domestic product (GDP),0.00252,0.01681,0.14545,0.02368,0.45469,0.09004,0.02492,0.01797,0.07575,0.02722,0.02985,0.05465,0.05120,0.04362,0.05110,0.02904,0.02778,0.04530,0.02885,0.02284,0.02889,0.12229,
Argentina,Capital health expenditure,% Gross domestic product (GDP),,0.00283,0.00290,0.01466,0.02901,0.01976,0.01338,0.01736,0.02164,0.03709,0.02511,0.02983,0.02435,0.03884,0.03191,0.02301,0.03173,0.00970,,,,,
Bahamas,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3.80487,3.92441,3.81252,4.01999,4.04628,4.03196,4.30936,4.49599,4.86262,5.15001,5.25594,5.32399,5.31909,5.59410,5.53944,5.16048,5.68249,6.70353,5.98264,5.82275,7.64701,7.13872,
Bahamas,Current Health Expenditure (CHE) per Capita in US$,,945.44031,990.31128,"1,013.73596","1,053.42017","1,067.91626","1,140.25159","1,242.34900","1,334.71790","1,410.82153","1,396.72705","1,421.59058","1,418.50854","1,492.44910","1,532.22961","1,590.94995","1,558.79883","1,698.39001","2,076.14160","1,898.81311","1,898.85632","1,824.87537","1,961.67786",
Bahamas,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.08110,0.06424,0.02692,0.08357,0.02880,0.06955,0.11032,0.08117,0.16352,0.12834,0.08300,0.04522,0.03459,0.02109,,,,,0.07871,0.08866,0.12443,1.29234,
Bahamas,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,0.06424,0.02692,,0.02880,,,,0.16352,0.12834,0.08300,0.04522,0.03459,0.02109,,,,,0.07871,0.08866,0.12443,1.29234,
Bahamas,Current Health Expenditure (CHE),% Gross domestic product (GDP),3.80487,3.92441,3.81252,4.01999,4.04628,4.03196,4.30936,4.49599,4.86262,5.15001,5.25594,5.32399,5.31909,5.59410,5.53944,5.16048,5.68249,6.70353,5.98264,5.82275,7.64701,7.13872,
Bahamas,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.50592,1.56618,1.50943,1.62847,1.61168,1.58766,1.65727,1.80025,2.08453,2.34724,2.36928,2.37498,2.31367,2.55259,2.49006,2.28884,2.75643,3.69730,2.96742,3.01477,4.63674,3.98075,
Bahamas,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),2.27419,2.33418,2.28057,2.36897,2.41252,2.42398,2.62258,2.66676,2.74871,2.77372,2.85708,2.91881,2.97493,3.01099,3.01849,2.84132,2.89493,2.97418,2.98356,2.77877,2.97894,3.12512,
Bahamas,External Health Expenditure (EXT),% Gross domestic product (GDP),0.02476,0.02404,0.02252,0.02255,0.02209,0.02033,0.02951,0.02897,0.02937,0.02906,0.02958,0.03020,0.03048,0.03051,0.03089,0.03033,0.03113,0.03205,0.03166,0.02922,0.03132,0.03286,
Bahamas,Capital health expenditure,% Gross domestic product (GDP),0.08110,0.06424,0.02692,0.08357,0.02880,0.06955,0.11032,0.08117,0.16352,0.12834,0.08300,0.04522,0.03459,0.02109,,,,,0.07871,0.08866,0.12443,1.29234,
Barbados,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,5.33187,5.52529,5.86123,6.69148,7.31298,6.77536,6.58370,6.05665,6.47753,7.14523,6.77095,6.89690,7.77820,7.39825,6.96651,6.83201,6.83736,6.65253,6.45336,6.20015,7.37277,8.09043,
Barbados,Current Health Expenditure (CHE) per Capita in US$,,616.37762,635.96448,683.33960,802.85565,938.14081,960.32306,"1,026.78040","1,042.89624","1,136.86572","1,165.37598","1,116.53308","1,166.02197","1,298.25586","1,249.76575","1,179.06519","1,158.39307","1,185.16309","1,186.16968","1,173.62854","1,172.40540","1,238.58716","1,400.43579",
Barbados,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.10815,0.14035,0.16446,0.20203,0.14146,0.12678,0.12851,0.06421,0.11503,0.06350,0.08014,0.11546,0.16866,0.08799,0.12615,0.16388,0.15976,0.07679,0.18790,0.39249,,0.07808,
Barbados,Current Health Expenditure (CHE),% Gross domestic product (GDP),5.33187,5.52529,5.86123,6.69148,7.31298,6.77536,6.58370,6.05665,6.47753,7.14523,6.77095,6.89690,7.77820,7.39826,6.96651,6.83201,6.83736,6.65253,6.45336,6.20015,7.37277,8.09043,
Barbados,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),2.76476,2.94436,3.13669,3.76656,4.34165,3.87815,3.70458,3.29873,3.58381,3.89941,3.61772,3.34342,4.30390,3.80453,3.28326,3.19532,3.14783,2.99721,2.93559,2.78261,3.64121,4.37962,
Barbados,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),2.56711,2.58093,2.60275,2.80250,2.88225,2.81719,2.77870,2.63895,2.69290,2.99918,2.99784,3.34597,3.44544,3.45968,3.52648,3.52034,3.57472,3.52222,3.43982,3.36248,3.67584,3.65696,
Barbados,External Health Expenditure (EXT),% Gross domestic product (GDP),0.00000,0.00000,0.12179,0.12242,0.08907,0.08003,0.10042,0.11896,0.20083,0.24664,0.15539,0.20751,0.02885,0.13405,0.15677,0.11636,0.11481,0.13310,0.07796,0.05506,0.05572,0.05386,
Barbados,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,6.83736,,,,,,
Barbados,Capital health expenditure,% Gross domestic product (GDP),0.10815,0.14035,0.16446,0.20203,0.14146,0.12678,0.12851,0.06421,0.11503,0.06350,0.08014,0.11546,0.16866,0.08799,0.12615,0.16388,0.15976,0.07679,0.18790,0.39249,,0.07808,
Belize,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2.98060,3.49099,3.59433,3.56306,3.44780,3.46699,3.57005,4.07867,4.53822,4.52588,4.49519,4.54943,4.36243,4.43660,4.88209,4.65366,4.76508,4.61620,4.74658,4.81374,5.30974,4.98044,
Belize,Current Health Expenditure (CHE) per Capita in US$,,138.36383,163.64502,173.12642,175.18500,176.04594,180.72240,195.48561,232.77417,256.69983,242.08943,242.61841,251.19102,246.29817,261.22449,296.24939,285.84985,292.99127,281.63385,287.60294,298.96051,279.65802,310.19501,
Belize,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.15561,0.11707,0.07252,0.06925,0.04876,0.07637,0.03220,0.02094,0.03253,0.05465,0.02068,0.01698,0.01587,0.03798,0.06370,0.03873,0.02075,0.08814,0.01611,0.02865,0.00361,0.03952,
Belize,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,0.10969,0.09271,0.07252,0.06925,0.04876,0.07637,0.02137,0.02094,0.03253,0.05465,0.02068,0.01698,0.01482,0.03734,0.06282,0.02834,0.02036,0.01263,0.01547,0.02679,0.00361,0.02362,
Belize,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,0.04592,0.02437,0.00000,0.00000,0.00000,0.00000,0.01083,0.00000,0.00000,0.00000,0.00000,0.00000,0.00106,0.00064,0.00088,0.01039,0.00039,0.07551,0.00065,0.00186,0.00000,0.01590,
Belize,Current Health Expenditure (CHE),% Gross domestic product (GDP),2.98060,3.49099,3.59433,3.56306,3.44780,3.46699,3.57005,4.07867,4.53822,4.52588,4.49519,4.54943,4.36243,4.43660,4.88209,4.65366,4.76508,4.61620,4.74658,4.81374,5.30974,4.98044,
Belize,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),1.38068,1.77867,1.84664,1.76743,1.72444,1.79870,1.98632,2.39044,2.92993,2.90806,2.99182,3.00048,2.87551,2.92997,3.03567,3.14627,3.32299,3.18847,3.24629,3.29101,3.74765,3.42702,
Belize,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.40503,1.48193,1.52150,1.52483,1.47089,1.42729,1.33895,1.32545,1.36809,1.37070,1.37769,1.36199,1.37050,1.40563,1.39143,1.37006,1.36195,1.35311,1.38210,1.38184,1.40745,1.41033,
Belize,External Health Expenditure (EXT),% Gross domestic product (GDP),0.19489,0.23039,0.22619,0.27080,0.25247,0.24100,0.24478,0.36278,0.24019,0.24712,0.12568,0.18696,0.11642,0.10101,0.45499,0.13732,0.08014,0.07462,0.11819,0.14089,0.15464,0.14309,
Belize,Capital health expenditure,% Gross domestic product (GDP),0.15561,0.11707,0.07252,0.06925,0.04876,0.07637,0.03220,0.02094,0.03253,0.05465,0.02068,0.01698,0.01587,0.03798,0.06370,0.03873,0.02075,0.08814,0.01611,0.02865,0.00361,0.03952,
Bolivia (Plurinational State of),Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4.39554,4.82522,4.89645,5.19710,4.86316,5.07408,4.66088,4.69689,4.60677,5.17445,5.20231,5.17307,5.25394,5.57465,5.89614,6.55065,6.83333,6.49019,6.60399,6.88793,8.02258,8.15973,
Bolivia (Plurinational State of),Current Health Expenditure (CHE) per Capita in US$,,42.95851,44.91655,43.48995,46.37623,46.29327,51.67019,55.93381,63.45651,77.74306,89.26694,99.99168,119.23862,134.63066,159.08922,178.20880,194.92401,205.92244,212.87914,229.22540,239.17545,246.19775,272.95923,
Bolivia (Plurinational State of),Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.47667,0.45470,0.50812,0.26578,0.63099,0.50050,0.55147,0.57667,0.49855,0.61395,0.43285,0.47407,0.52507,0.68400,0.79155,0.97720,0.96726,0.59475,0.77349,0.81316,,,
Bolivia (Plurinational State of),Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,0.35503,0.28309,0.29903,0.13671,0.25945,0.26368,0.31155,0.30121,0.29907,0.43046,0.35649,0.38998,0.45482,0.58539,0.72301,0.89772,0.88241,0.54295,0.69172,0.76898,,,
Bolivia (Plurinational State of),Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,0.11853,0.16866,0.20574,0.12351,0.35689,0.22685,0.23245,0.25907,0.19259,0.18039,0.07543,0.07596,0.05732,0.08315,0.05763,0.05776,0.06434,0.05180,0.08177,0.04417,,,
Bolivia (Plurinational State of),Current Health Expenditure (CHE),% Gross domestic product (GDP),4.39554,4.82522,4.89645,5.19710,4.86316,5.07408,4.66088,4.69689,4.60677,5.17445,5.20231,5.17307,5.25394,5.57465,5.89614,6.55065,6.83333,6.49019,6.60399,6.88793,8.02258,8.15973,
Bolivia (Plurinational State of),Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),2.43202,2.61402,2.60215,2.75486,2.53552,2.75370,2.61106,2.77554,2.70189,3.15831,3.05729,3.02061,2.99635,3.26243,3.69241,4.30645,4.42945,4.44758,4.79800,4.89662,5.80239,5.88222,
Bolivia (Plurinational State of),Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),1.68847,1.90235,1.95306,1.97832,1.87971,1.93409,1.78190,1.70631,1.63154,1.80913,1.95823,1.91167,2.02524,2.11552,2.04644,2.04284,2.18258,1.89309,1.69839,1.91322,1.99875,2.15852,
Bolivia (Plurinational State of),External Health Expenditure (EXT),% Gross domestic product (GDP),0.27505,0.30885,0.34124,0.46392,0.44793,0.38629,0.26792,0.21504,0.27335,0.20701,0.18679,0.24079,0.23235,0.19671,0.15729,0.20135,0.22130,0.14953,0.10760,0.07809,0.22145,0.11899,
Bolivia (Plurinational State of),Capital health expenditure,% Gross domestic product (GDP),0.47667,0.45470,0.50812,0.26578,0.63099,0.50050,0.55147,0.57667,0.49855,0.61395,0.43285,0.47407,0.52507,0.68400,0.79155,0.97720,0.96726,0.59475,0.77349,0.81316,,,
Brazil,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,8.33457,8.54963,8.69687,8.18899,8.12492,8.03540,8.24953,8.20183,8.01128,8.39480,7.94517,7.78819,7.73638,7.97660,8.39644,8.90930,9.16901,9.47125,9.46475,9.61449,10.18235,9.89072,
Brazil,Current Health Expenditure (CHE) per Capita in US$,,310.61404,268.64972,245.66194,250.30894,294.38385,383.55087,483.91916,600.63568,705.13397,719.42651,893.77509,"1,028.08472",953.70313,977.81689,"1,013.56842",782.52295,795.93799,937.34290,863.28174,850.43286,704.99536,761.26776,
Brazil,Health Capital Expenditure (HK) % Gross Domestic Product (GDP),,0.64032,0.70089,0.71736,0.53238,0.63670,0.70506,0.74212,0.78217,0.84121,0.82504,0.30874,0.26323,0.30566,0.28243,0.37301,0.28954,0.31722,0.25351,0.33637,0.29249,0.20817,,
Brazil,Capital Health Expenditure (Domestic Public) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,0.10385,0.11460,0.09113,0.12285,0.11432,0.20817,,
Brazil,Capital Health Expenditure (External) as % Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,,,
Brazil,Current Health Expenditure (CHE),% Gross domestic product (GDP),8.33457,8.54963,8.69687,8.18899,8.12492,8.03540,8.24953,8.20183,8.01128,8.39481,7.94517,7.78819,7.73638,7.97660,8.39644,8.90930,9.16902,9.47125,9.46475,9.61449,10.18235,9.89072,
Brazil,Domestic General Government Health Expenditure (GGHE-D),% Gross domestic product (GDP),3.47015,3.51298,3.68635,3.50954,3.46693,3.34525,3.54131,3.48463,3.50442,3.70742,3.57701,3.46568,3.35463,3.55114,3.69886,3.85385,3.94844,3.95315,3.88924,3.91702,4.52904,4.50448,
Brazil,Domestic Private Health Expenditure (PVT-D),% Gross domestic product (GDP),4.83791,5.01240,4.98306,4.66332,4.61488,4.68472,4.69946,4.71050,4.50258,4.67487,4.34861,4.29610,4.37211,4.42004,4.68599,5.04831,5.21376,5.51183,5.56743,5.68345,5.63859,5.37334,
Brazil,External Health Expenditure (EXT),% Gross domestic product (GDP),0.02652,0.02424,0.02746,0.01613,0.04312,0.00542,0.00875,0.00670,0.00429,0.01252,0.01954,0.02641,0.00964,0.00542,0.01159,0.00714,0.00681,0.00627,0.00809,0.01403,0.01472,0.01291,
Brazil,Current health expenditure by Health Care Functions,% Gross domestic product (GDP),,,,,,,,,,,,,,,,,9.16902,9.47125,9.46475,9.61449,,,
Brazil,Capital health expenditure,% Gross domestic product (GDP),0.64032,0.70089,0.71736,0.53238,0.63670,0.70506,0.74212,0.78217,0.84121,0.82504,0.30874,0.26323,0.30566,0.28243,0.37301,0.28954,0.31722,0.25351,0.33637,0.29249,0.20817,,
